Connective,Curative,Curious,Experiment,Expert,Flexible,Generative,Integrative,Methodical,Reliable,RegionsIDCode,Percentile_Connective,Percentile_Curative,Percentile_Curious,Percentile_Experiment,Percentile_Expert,Percentile_Flexible,Percentile_Generative,Percentile_Integrat,Percentile_Method,Percentile_Reliable
6.40,6.50,5.25,4.67,5.83,7.00,5.40,6.33,6.75,7.00,R_10IyteArts9v8L6,88,83,35,26,56,96,63,87,97,96
6.40,7.00,7.00,7.00,7.00,7.00,6.80,7.00,3.50,6.75,R_10JhHS6oOeSAVTq,88,95,96,99,97,96,97,98,15,89
4.40,5.50,4.75,4.67,6.67,5.00,4.80,5.83,5.50,6.75,R_10TaSsDDxhME09c,20,55,22,26,84,32,44,66,71,89
6.40,6.75,6.00,5.33,6.33,6.17,5.40,6.67,6.00,6.50,R_10ZvnmIoRY7MS4i,88,88,63,52,75,76,63,93,86,82
7.00,7.00,7.00,6.17,7.00,7.00,7.00,7.00,3.50,5.50,R_11ZQ4mq8cqZLpLf,97,95,96,85,97,96,99,98,15,45
5.40,5.75,6.00,4.67,6.83,5.50,4.40,5.67,5.25,5.75,R_12D7MsZd2TOCUYi,57,63,63,26,90,51,30,58,63,56
4.80,7.00,3.75,4.83,6.83,7.00,5.60,7.00,6.00,6.50,R_1C8AcmFsOyKm4aO,32,95,4,32,90,96,70,98,86,82
7.00,7.00,5.25,3.83,6.50,6.00,4.40,4.33,3.75,7.00,R_1CHZuIicum9vtHP,97,95,35,7,79,69,30,16,21,96
4.00,5.75,3.50,3.00,6.33,6.67,3.00,5.67,6.75,6.00,R_1DALl4qbDADNmhO,13,63,2,2,75,87,8,58,97,66
7.00,7.00,6.25,6.83,7.00,6.33,6.80,6.67,1.50,7.00,R_1DCqxKf8MjI72ge,97,95,73,96,97,80,97,93,1,96
5.80,3.75,4.25,6.00,6.17,5.67,3.00,4.50,6.50,6.25,R_1Do3Q0zHqJXuln8,71,12,11,78,70,57,8,19,94,75
5.80,6.50,5.50,5.83,5.83,5.83,4.20,5.83,4.50,6.75,R_1Ej9GAEkgw2nSLO,71,83,43,71,56,62,24,66,40,89
5.60,6.25,5.50,6.00,6.83,6.67,4.80,6.83,3.00,6.75,R_1eK6Lj4qnWlxvSx,64,77,43,78,90,87,44,95,8,89
5.20,5.00,5.00,5.50,6.00,6.17,5.40,5.83,5.00,6.75,R_1eRV0cRioKtaCKu,49,40,28,60,63,76,63,66,54,89
5.20,6.75,6.25,5.33,6.67,7.00,4.60,6.50,3.50,6.25,R_1GP85GVvAlg0iuS,49,88,73,52,84,96,37,90,15,75
6.60,6.50,5.75,6.17,6.67,7.00,6.00,6.67,4.25,6.25,R_1gpU87aosO01rhT,92,83,52,85,84,96,82,93,33,75
5.20,6.00,5.25,4.00,6.67,5.00,4.20,4.17,5.50,5.00,R_1IgxQv4G5hTIJs7,49,71,35,10,84,32,24,13,71,28
6.80,6.25,7.00,5.67,6.67,7.00,7.00,7.00,3.75,5.50,R_1ilJbQmXxH86YrK,94,77,96,65,84,96,99,98,21,45
